14.7,11.5
15.8,3.5
15.9,2.1
16,8.8
15.6,11.1
12.9,6.3
15.5,7
13.8,4.4
6.5,3.6
10.6,4
10.1,2.1
13.6,0.5
14.9,6.9
16.9,7.7
15.5,4.6
15.7,2.5
15.3,8.8
16.5,8.6
14.4,8.5
16.4,7.5
15.9,6
15.6,3
13.8,5
15.2,9.8
12.9,7.5
13.8,8
10.7,3.5
12.7,-1.1
14,-0.5
14.5,5.9
14.6,3.7
12.2,1.4
13,0.5
14.1,-0.4
16.8,3.9
18.5,5.5
18,3.5
15.6,8.3
14.5,8.7
12.6,7.1
11,2.6
9.3,1.1
8.4,0
10.6,-1.4
8.8,3.8
11.3,4.5
15.9,9.6
16.5,11.7
17,8.6
15,9.7
15.4,3.9
13.6,2.4
17.5,11.9
18.7,12.2
19.3,12.9
17.4,12.1
19.5,10.4
20.6,7.4
18.6,11.6
18.4,8.2
17.6,5.3
16.5,10
18.9,6.6
14,6.8
15,3.6
15.9,1.6
12.6,5
9.9,4.2
6.3,-0.2
11.4,-1
13.6,-0.4
13.4,1.9
15.6,-0.2
17.5,-0.2
16,1.2
18,1.3
20,2.8
17.8,5.8
20.5,12
18.4,13.3
19.1,11
18.6,10.2
18.5,11.3
17.7,11.3
21,7.4
19.9,7.5
18.5,4.9
17.9,3.5
19.1,7.5
19,5.2
18.9,5.9
17.5,3.7
19.3,8.4
16.3,6
17.9,3.1
18.2,9.1
19.4,10.2
17.2,11.3
18.3,8
21,6.3
19.6,4
20,5.9
14.7,9.7
18.6,5.5
18,4.8
18.7,4.2
18,7.9
19,7.8
19.6,6
21.7,10
22.5,8
15.3,11.4
20.9,10.4
20.8,10.4
21.6,10.7
25.2,9.2
24.6,10.9
24.3,9.5
21.5,10.8
23.5,10.6
22.5,14.5
22.9,12.6
16.7,10.4
15.2,9.3
17.6,7.8
18.1,7.7
18.8,8.5
20.6,12.5
22.5,12.9
22.3,12.3
22.9,13
21.5,12.6
20.4,10.4
18.6,10.1
18.9,10.1
21.8,9.8
22.1,7.5
21.3,8.6
22.5,8.4
23.6,10.8
24.5,10.5
25.8,10
25.2,10.2
24.8,10
27.6,9.8
24.1,11.1
25.4,14.8
24.5,14.9
26.5,14.5
24.8,12.4
30,16
28.8,15.7
25.5,16.1
25.1,15.2
26.9,12.8
28.1,12.9
28.1,14.2
27.7,16.3
26,14.7
25.8,19.9
26.3,19
26.5,15.1
25,12.6
25.4,15
26.5,13.7
22.8,16.2
24.1,13.2
25.3,12.9
25.7,13.5
27,14
21.2,14.1
25.8,14
25,13.6
25.4,12.8
27.7,13
30.1,13
29.2,14.6
31.5,14
29,14.9
31,15.9
29.7,16.7
29.4,16.7
31.3,17.8
29.7,18.4
32.2,19.4
32.6,18.7
31.3,19.1
30.1,19
31.5,19
31.8,19.8
36,18.7
33.2,19.8
33.5,18
29.9,18.2
30.2,20.4
32.4,19.8
31,19.5
33.4,20.6
31.9,22.8
31.4,19.3
31.2,20.8
32.9,18.5
30.7,21.6
31,23
29.7,19.6
28.9,19.7
30.5,19.4
29.1,17.4
30.5,17.7
31,17.8
29.5,21
29.2,18.2
33.2,18.8
31.8,19
30.1,20.3
28.2,18.2
31,18.7
29.3,17.7
28.9,15
29.1,16
31,18.8
32.2,18.2
30.6,19
32.5,21.2
27.2,20.1
27.4,17.3
28.1,16.6
27.9,20
28.5,19.1
28.7,18
31,22.8
34,22.5
32.4,19.6
30.8,19.5
29.3,17.9
32.7,22.3
31.6,20.4
31,18.6
30.6,19.1
31.7,20.6
28.5,14.4
28,15.9
27.7,15.1
29.7,14.8
29.6,16.6
30,2,15.8
28.6,15.8
28.3,16.3
30,16.6
28,16.5
29,18
28.8,17.3
25.4,15.9
27.1,13.7
28.2,13.8
28,15.1
26.9,16.4
28,14.8
27.4,18.3
28.2,18.2
28.6,17.6
26.8,14.5
25.7,16.9
27.2,17.1
28.2,16.1
26.2,16.2
26.4,18.2
24.5,15.6
24.5,14.5
24,13.8
24,12.4
25.8,13.8
27.3,14.9
26.6,15.9
26.8,14.1
27.2,15
26.5,15.7
27.3,12.6
27.9,13.5
28.5,21.1
28.8,17.6
27.6,17.6
23.7,16
22.5,14.5
19.5,15.8
24.5,15.5
23,14.3
23.5,13
22,10.6
16.4,10.1
19.2,8.9
19.5,7.1
21.5,7.2
21.5,9
22.1,8.9
23.4,12.8
22.3,9.2
20,14
18.9,6.6
20.8,5
21.4,6.9
22.8,7
19.7,11.1
20,14.8
19.5,12.3
20.8,9.7
21.8,8.6
22.7,7.6
22.1,10.8
22.2,11.3
20.9,11.5
18.9,11.4
20.3,16.4
19.8,10.6
17.7,8.5
20.3,7.1
20.1,8.1
21.1,12.1
18.9,13.8
17.1,10.5
17.2,5.4
16.9,4.5
16.7,3.1
18.4,2.5
17.7,6.9
15.6,10
17.2,5.3
15.8,3.5
17.1,1.4
14.8,6
14.5,8.3
14.6,2.9
11.2,2.8
15.8,10.5
15.5,10.1
15.2,3.1
10.8,0.5
13,1.3
17.9,2.2
19,8.6
20,10.6
20.4,10.9
21.8,10.5
16.8,2.9
17.6,2.2
15.9,2.3
15,4.6
11.6,8.1
8.7,1.3
10,-0.6
13.4,-1.3
12.8,0.7
15.8,9.8
15.9,5.9
15.9,7
19.7,11.3
17.5,11.2
13,8.9
11.6,0
12.2,-1.7
13.5,-2.5
15.9,3.8
16.9,3.8
16.1,4.6
15.8,3.2
17.6,8.2
